"Photon energy, eV","n","k"
0.006199209371654985,2.13,0.504
0.006525483549110511,2.119,0.501
0.006888010412949984,2.107,0.499
0.007293187496064689,2.094,0.497
0.007749011714568732,2.081,0.496
0.008265612495539981,2.069,0.495
0.008856013388078551,2.056,0.5
0.009537245187161517,2.036,0.514
0.010332015619424977,2.004,0.526
0.011271289766645428,1.966,0.531
0.01239841874330997,1.957,0.532
0.013776020825899968,1.924,0.536
0.015498023429137465,1.886,0.547
0.017712026776157103,1.821,0.576
0.020664031238849953,1.703,0.587
0.02479683748661994,1.587,0.514
0.02583003904856244,1.555,0.488
0.026953084224586893,1.541,0.462
0.028178224416613572,1.53,0.436
0.029520044626928504,1.522,0.409
0.03099604685827493,1.519,0.385
0.032627417745552556,1.522,0.361
0.03444005206474992,1.527,0.343
0.036465937480323445,1.536,0.329
0.03874505857284366,1.546,0.324
0.041328062477699906,1.551,0.328
0.04275316808037921,1.551,0.333
0.04428006694039276,1.549,0.338
0.04592006941966656,1.545,0.344
0.04768622593580758,1.539,0.35
0.04959367497323988,1.531,0.356
0.05166007809712488,1.521,0.361
0.053906168449173786,1.511,0.367
0.056356448833227143,1.5,0.373
0.05904008925385701,1.487,0.382
0.06199209371654986,1.48,0.393
0.06358163458107678,1.476,0.404
0.06525483549110511,1.461,0.414
0.06701847969356742,1.443,0.421
0.06888010412949984,1.423,0.426
0.07084810710462841,1.401,0.429
0.07293187496064689,1.376,0.429
0.07514193177763619,1.351,0.428
0.07749011714568732,1.325,0.422
0.0799897983439353,1.297,0.414
0.08265612495539981,1.27,0.402
0.08550633616075842,1.241,0.388
0.08856013388078551,1.21,0.37
0.09184013883933312,1.177,0.343
0.09537245187161517,1.146,0.305
0.09918734994647976,1.123,0.259
0.10332015619424977,1.111,0.199
0.10781233689834757,1.126,0.142
0.11271289766645429,1.153,0.0968
0.11808017850771402,1.185,0.0662
0.12398418743309972,1.218,0.0508
0.12651447697255072,1.229,0.0479
0.1291501952428122,1.239,0.0454
0.1318980717373401,1.247,0.0433
0.1347654211229345,1.255,0.0415
0.13776020825899968,1.262,0.0399
0.14089112208306784,1.269,0.0385
0.1441676598059299,1.275,0.0372
0.14760022313464252,1.281,0.0361
0.1512002285769509,1.286,0.0351
0.15498023429137464,1.291,0.0343
0.15694200940898698,1.294,0.0339
0.15895408645269193,1.297,0.0335
0.16101842523779183,1.299,0.0331
0.16313708872776278,1.302,0.0328
0.16531224991079962,1.304,0.0326
0.16754619923391853,1.307,0.0324
0.1698413526480818,1.309,0.0322
0.1722002603237496,1.312,0.0321
0.17462561610295735,1.314,0.032
0.17712026776157103,1.317,0.032
0.1796872281639126,1.321,0.0322
0.18232968740161723,1.324,0.0327
0.1850510260195518,1.329,0.0337
0.1878548294440905,1.334,0.0356
0.19074490374323033,1.339,0.0392
0.1937252928642183,1.347,0.0449
0.1968002975128567,1.357,0.057
0.19997449585983823,1.363,0.088
0.20325276628377004,1.319,0.131
0.20664031238849953,1.265,0.107
0.21014269056457577,1.248,0.0622
0.21376584040189606,1.262,0.033
0.2175161183036837,1.277,0.0203
0.2214003347019638,1.289,0.0142
0.22542579533290857,1.298,0.0116
0.2296003470983328,1.305,0.0103
0.23393242911905607,1.312,0.0098
0.2384311296790379,1.317,0.0101
0.24310624986882298,1.322,0.0111
0.24796837486619944,1.325,0.0124
0.25302895394510144,1.328,0.0137
0.2583003904856244,1.33,0.015
0.2637961434746802,1.33,0.0157
0.269530842245869,1.33,0.0147
0.27552041651799936,1.332,0.0134
0.2817822441661357,1.334,0.0103
0.2883353196118598,1.338,0.00845
0.29520044626928504,1.342,0.00688
0.3024004571539018,1.346,0.00562
0.3099604685827493,1.351,0.0046
0.31790817290538387,1.357,0.0038
0.32627417745552556,1.364,0.0034
0.33509239846783706,1.374,0.0036
0.3444005206474992,1.385,0.00515
0.35424053552314205,1.4,0.0094
0.3593744563278252,1.41,0.0132
0.36465937480323446,1.42,0.0195
0.3701020520391036,1.432,0.0261
0.375709658888181,1.45,0.0368
0.38148980748646066,1.467,0.061
0.3874505857284366,1.478,0.0924
0.3936005950257134,1.483,0.135
0.39994899171967646,1.467,0.192
0.4065055325675401,1.426,0.24
0.41328062477699906,1.371,0.272
0.42028538112915154,1.292,0.298
0.4275316808037921,1.201,0.268
0.4350322366073674,1.149,0.185
0.4428006694039276,1.142,0.115
0.45085159066581715,1.157,0.059
0.4592006941966656,1.188,0.019
0.46786485823811214,1.219,0.0067
0.4768622593580758,1.242,0.00317
0.5166007809712488,1.279,0.000956
0.5635644883322714,1.296,0.000289
0.6199209371654986,1.306,0.0011
0.6888010412949984,1.312,0.000115
0.7749011714568732,1.317,0.0000855
0.8856013388078552,1.321,0.000138
1.0332015619424977,1.324,0.00000989
1.2398418743309971,1.327,0.00000289
1.2716326916215355,1.327,0.00000348
1.3050967098221022,1.327,0.00000293
1.3403695938713482,1.328,0.00000106
1.3776020825899968,1.328,4.86e-7
1.4169621420925682,1.328,3.91e-7
1.4586374992129378,1.329,2.93e-7
1.502838635552724,1.329,1.82e-7
1.5498023429137464,1.329,1.25e-7
1.5997959668787058,1.33,1.48e-7
1.6531224991079962,1.33,1.56e-7
1.7101267232151685,1.33,9.15e-8
1.7712026776157104,1.331,3.35e-8
1.8368027767866624,1.331,2.23e-8
1.9074490374323032,1.331,1.64e-8
1.9837469989295955,1.332,1.39e-8
2.0664031238849954,1.332,1.09e-8
2.156246737966952,1.333,3.6e-9
2.2542579533290854,1.333,1.96e-9
2.3616035701542804,1.334,1.32e-9
2.4796837486619943,1.335,1e-9
2.6101934196442045,1.336,9.35e-10
2.7552041651799937,1.337,1.02e-9
2.9172749984258757,1.338,1.3e-9
3.099604685827493,1.339,1.86e-9
3.3062449982159925,1.341,3.5e-9
3.5424053552314207,1.343,6.5e-9
3.8148980748646064,1.346,1.08e-8
4.132806247769991,1.349,1.6e-8
4.508515906658171,1.354,2.35e-8
4.9593674973239885,1.362,3.35e-8
5.510408330359987,1.373,4.9e-8
6.199209371654986,1.396,1.1e-7